Epoka,BPM_Srednie,SPO2,HRV,Energia_Ruchu,Faza_Snu
379,56,98,7.11,0.06,2
380,56,94,7.46,0.0,2
381,56,98,6.71,0.12,2
382,56,94,7.11,0.13,2
383,56,95,7.55,0.13,2
384,56,97,7.73,0.08,2
385,56,94,7.46,0.13,2
386,56,94,5.81,0.01,2
387,56,96,6.26,0.0,2
388,57,96,7.3,0.18,2
389,57,96,7.49,0.07,2
390,66,96,5.29,8.72,0
391,64,96,4.9,0.05,2
392,64,95,6.56,0.04,2
393,56,97,5.61,0.1,2
394,56,98,5.39,0.1,2
395,56,96,6.91,0.02,2
396,56,95,6.54,0.02,2
397,56,95,5.86,0.08,2
398,55,97,6.8,0.0,2
399,55,96,7.11,0.0,2
400,55,99,6.92,0.04,2
401,56,97,6.79,0.06,2
402,57,97,8.03,0.15,2
403,56,96,7.97,0.04,2
404,59,95,5.12,0.58,1
405,64,95,2.63,1.76,0
406,67,97,3.35,0.6,1
407,67,99,4.34,0.92,1
408,64,99,3.45,0.0,1
409,62,99,3.44,1.84,1
410,65,96,4.32,0.51,1
411,68,97,3.16,1.35,0
412,68,94,2.97,1.56,1
413,64,96,4.16,2.04,1
414,61,96,4.35,0.41,1
415,63,98,4.61,1.98,1
416,65,98,4.08,1.07,1
417,69,98,3.12,0.95,1
418,69,99,3.18,0.77,1
419,68,99,3.89,0.4,1
420,66,97,4.12,1.19,1
421,66,99,3.99,0.0,1
422,68,96,5.05,1.37,1
423,65,99,6.32,1.43,1
424,64,97,4.38,0.0,1
425,62,99,3.68,0.19,1
426,64,99,4.91,1.27,1
427,65,99,4.73,0.34,1
428,65,94,4.81,1.09,1
429,65,96,4.16,0.48,1
430,65,94,4.02,1.11,1
431,65,94,4.35,0.43,1
432,66,97,3.67,1.39,1
433,64,97,3.56,0.32,1
434,64,98,4.63,1.2,1
435,63,95,4.93,0.52,1
436,64,97,4.51,1.36,1
437,65,95,3.96,0.14,1
438,66,99,4.05,0.42,1
439,65,94,4.07,0.84,1
440,64,98,3.13,0.95,1
441,65,94,3.14,2.36,0
442,66,95,4.0,1.04,1
443,68,99,4.77,0.93,1
444,68,98,2.93,0.02,3
445,70,95,1.46,0.0,3
446,69,95,1.55,0.01,3
447,71,99,1.09,0.01,3
448,70,95,1.24,0.02,3
449,67,95,1.35,0.02,3
450,64,96,1.62,0.01,3
451,66,98,1.68,0.03,3
452,69,94,1.62,0.02,3
453,72,97,1.48,0.02,3
454,70,94,1.41,0.0,3
455,69,95,1.51,0.03,3
456,71,97,1.44,0.0,3
457,70,96,1.72,0.03,3
458,70,94,1.62,0.02,3
459,68,94,1.13,0.05,3
460,67,99,1.16,0.06,3
461,70,97,1.21,0.0,3
462,71,97,1.11,0.04,3
463,72,98,1.26,0.07,3
464,69,94,1.26,0.0,3
465,69,95,1.44,0.0,3
466,69,94,1.57,0.0,3
467,69,98,1.69,0.01,3
468,69,97,1.85,0.02,3
469,71,94,1.5,0.0,3
470,72,96,1.48,0.02,3
471,70,98,1.61,0.0,3
472,65,95,1.72,0.01,3
473,67,98,1.45,0.06,3
474,71,96,1.29,0.02,3
475,75,97,1.67,0.0,3
476,72,98,1.69,0.03,3
477,69,95,1.23,0.02,3
478,71,98,1.2,0.02,3
479,76,99,1.62,0.04,3
480,79,97,1.33,0.01,3
481,78,96,1.3,0.01,3
482,76,97,1.62,0.01,3
483,75,97,1.36,0.0,3
484,71,94,1.55,0.0,3
485,71,95,1.87,0.0,3
486,68,98,1.83,0.0,3
487,71,99,1.74,0.03,3
488,73,99,1.42,0.02,3
489,73,94,1.61,0.03,3
490,76,99,2.05,5.97,0
491,74,96,1.66,0.0,3
492,74,96,1.35,0.03,3
493,71,95,1.49,0.01,3
494,72,98,2.15,4.55,0
495,76,96,2.88,1.86,0
496,76,95,2.33,5.68,0
497,77,95,2.74,6.05,0
498,76,96,2.93,5.67,0
499,75,98,1.98,6.71,0
500,75,96,2.03,2.88,0
501,75,96,2.6,0.0,0
502,81,96,3.31,3.0,0
503,81,98,2.8,6.46,0
504,75,96,3.14,0.0,1
505,68,98,4.05,1.09,1
506,65,98,3.73,1.21,1
507,69,97,3.63,0.0,1
508,69,97,3.47,1.37,1
509,69,99,3.62,0.61,1
510,69,95,3.89,1.71,1
511,67,99,3.42,0.47,1
512,65,96,2.43,0.92,1
513,63,95,3.34,1.42,1
514,69,94,3.66,7.78,0
515,68,99,3.4,0.5,1
516,68,98,4.8,2.26,1
517,63,98,3.64,0.36,1
518,64,99,3.37,0.7,1
519,65,95,3.94,1.2,1
520,65,94,3.12,0.08,1
521,65,99,3.21,0.58,1
522,63,99,3.08,0.52,1
523,64,95,2.76,0.44,1
524,66,99,2.98,1.11,1
525,67,94,3.71,0.0,1
526,66,94,4.11,0.16,1
527,68,95,5.31,1.16,1
528,68,96,5.68,1.4,1
529,66,94,4.52,0.68,1
530,64,99,3.86,0.14,1
531,63,98,3.96,0.99,1
532,63,96,4.18,1.2,1
533,64,94,2.64,1.28,1
534,65,97,2.62,1.07,1
535,66,96,5.15,0.98,1
536,66,99,4.46,0.41,1
537,67,97,3.17,1.15,1
538,68,96,4.16,0.56,1
539,65,95,4.28,1.06,1
540,65,99,4.03,0.42,1
541,62,98,3.85,1.21,1
542,63,99,3.57,1.72,1
543,62,99,3.24,0.65,1
544,63,97,3.32,0.7,1
545,62,98,3.96,1.2,1
546,64,95,4.02,0.48,1
547,65,94,3.78,1.03,1
548,65,94,4.25,1.42,1
549,65,95,3.78,0.9,1
550,64,97,2.72,0.72,1
551,66,96,3.5,0.97,1
552,65,97,3.98,0.64,1
553,64,99,3.74,2.03,1
554,60,99,6.18,0.1,2
555,58,94,7.16,0.1,2
556,56,98,6.37,0.0,2
557,56,94,7.09,0.13,2
558,57,98,7.25,0.02,2
559,61,97,5.04,5.93,0
560,61,99,5.41,0.12,2
561,60,94,7.35,0.06,2
562,56,98,5.93,0.03,2
563,55,95,6.39,0.15,2
564,58,94,5.65,0.96,1
565,60,95,3.05,1.08,1
566,62,95,2.66,0.12,1
567,62,99,3.6,0.85,1
568,64,96,4.32,0.0,1
569,65,99,4.15,1.21,1
570,64,97,3.78,1.44,1
571,64,98,3.65,1.46,1
572,66,96,4.29,0.66,1
573,65,98,5.09,2.0,1
574,64,99,4.53,1.64,1
575,63,98,4.38,1.04,1
576,63,97,4.35,0.78,1
577,64,94,3.66,1.85,1
578,62,97,4.44,0.85,1
579,65,96,4.73,1.14,1
580,65,95,4.09,1.27,1
581,64,94,4.17,1.43,1
582,63,98,4.02,1.14,1
583,60,94,3.26,1.22,1
584,63,99,3.71,0.63,1
585,63,95,5.45,1.02,1
586,64,96,5.06,1.28,1
587,64,98,3.86,0.58,1
588,62,98,3.68,1.69,1
589,63,94,4.06,0.05,1
590,64,95,3.97,0.0,1
591,67,96,4.34,0.65,1
592,65,99,4.18,0.46,1
593,66,99,3.63,0.0,1
594,66,95,4.33,1.27,1
595,66,95,3.63,1.41,1
596,66,98,3.46,1.96,1
597,63,98,3.82,0.2,1
598,64,95,4.14,1.47,1
599,61,98,4.4,0.77,1
600,61,97,4.69,1.4,1
601,66,98,4.07,7.13,0
602,70,96,3.63,1.0,1
603,70,96,3.88,1.43,1
604,72,99,2.32,0.02,3
605,71,94,1.21,0.02,3
606,72,97,1.5,0.03,3
607,68,97,2.22,7.5,0
608,69,99,1.87,0.01,3
609,71,97,1.58,0.0,3
610,72,96,1.98,0.05,3
611,73,94,1.81,0.03,3
612,72,94,1.68,0.05,3
613,67,99,1.92,0.04,3
614,72,94,1.88,0.05,3
615,70,99,1.82,0.0,3
616,75,96,1.87,0.02,3
617,73,99,1.5,0.02,3
618,76,98,1.41,0.0,3
619,73,98,1.78,0.0,3
620,71,97,1.73,0.0,3
621,70,95,1.6,0.06,3
622,74,95,1.9,0.01,3
623,73,96,1.84,0.05,3
624,76,94,1.64,0.03,3
625,76,96,1.56,0.0,3
626,75,98,1.22,0.03,3
627,72,97,1.32,0.01,3
628,71,94,1.77,0.04,3
629,71,98,1.63,0.01,3
630,71,99,1.68,0.03,3
631,67,98,1.63,0.05,3
632,68,96,1.5,0.03,3
633,68,96,1.75,0.03,3
634,72,94,1.66,0.01,3
635,72,96,1.7,0.0,3
636,73,96,1.37,0.0,3
637,71,95,1.15,0.01,3
638,74,96,1.55,0.0,3
639,72,96,1.74,0.05,3
640,69,95,1.19,0.0,3
641,68,96,1.11,0.03,3
642,72,96,1.8,0.01,3
643,74,94,1.43,0.04,3
644,74,94,1.26,0.01,3
645,73,99,1.86,0.03,3
646,72,99,1.57,0.06,3
647,71,99,1.5,0.04,3
648,70,97,1.88,0.03,3
649,67,99,1.56,0.02,3
650,64,96,1.31,0.02,3
651,60,97,1.59,0.0,3
652,64,98,1.5,0.03,3
653,68,94,1.17,0.01,3
654,70,98,1.46,0.02,3
655,70,99,1.46,0.03,3
656,69,95,1.5,0.0,3
657,69,97,1.29,0.01,3
658,69,98,1.44,0.0,3
659,66,98,1.65,0.01,3
660,68,97,1.31,0.01,3
661,71,99,1.17,0.01,3
662,74,96,1.27,0.0,3
663,75,99,1.55,0.02,3
664,71,94,1.58,0.02,3
665,67,98,1.44,0.0,3
666,61,97,1.55,0.0,3
667,63,98,1.7,0.03,3
668,63,95,1.34,0.01,3
669,71,97,1.18,0.06,3
670,71,95,1.61,0.01,3
671,75,98,1.55,0.03,3
672,67,97,1.7,0.02,3
673,69,94,1.81,0.03,3
674,65,99,2.37,1.38,1
675,68,99,3.74,0.78,1
676,64,98,3.87,1.3,1
677,67,96,4.59,1.55,1
678,67,98,5.31,0.27,1
679,65,99,4.69,0.14,1
680,64,99,5.19,2.16,1
681,65,97,5.54,0.45,1
682,66,94,4.29,1.08,1
683,64,96,3.85,0.2,1
684,66,96,3.09,2.67,0
685,67,94,3.39,1.62,1
686,69,95,4.54,0.9,1
687,67,96,4.0,0.44,1
688,65,95,4.16,0.93,1
689,64,94,4.43,0.0,1
690,64,94,4.61,0.67,1
691,66,97,4.78,0.41,1
692,65,94,4.08,1.0,1
693,65,94,4.39,1.95,1
694,65,98,4.92,0.13,1
695,65,94,3.88,0.54,1
696,66,94,3.33,0.0,1
697,63,96,3.35,0.87,1
698,64,99,4.23,1.39,1
699,64,99,4.03,0.9,1
700,68,95,3.02,0.21,1
701,71,97,3.42,0.0,1
702,70,96,3.56,0.66,1
703,67,96,3.85,0.0,1
704,65,99,3.65,0.98,1
705,65,96,3.52,0.01,1
706,66,95,3.58,1.85,1
707,66,94,4.0,0.32,1
708,66,96,5.05,0.54,1
709,64,99,3.91,0.94,1
710,67,99,3.37,0.88,1
711,64,97,4.92,1.35,1
712,65,95,5.14,1.55,1
713,65,97,4.43,1.64,1
714,67,98,3.29,4.73,0
715,71,98,2.19,4.94,0
716,71,94,2.3,2.8,0
717,77,95,3.17,3.59,0
718,79,98,3.38,6.48,0
719,79,95,2.16,2.76,0
720,79,98,1.72,9.22,0
721,75,98,2.6,0.0,0
722,78,96,2.66,4.87,0
723,74,95,1.84,3.04,0
724,79,99,2.05,3.77,0
725,77,99,2.95,3.75,0
726,79,98,3.13,6.25,0
727,76,98,2.89,9.09,0
728,73,96,2.15,2.44,0
729,74,98,2.08,8.81,0
730,76,96,2.23,2.59,0
731,81,95,2.75,6.34,0
732,78,98,3.2,5.57,0
733,79,97,2.6,4.34,0
