Epoka,BPM_Srednie,SPO2,HRV,Energia_Ruchu,Faza_Snu
179,86,94,1.61,5.03,0
180,82,96,1.73,6.29,0
181,74,95,2.98,1.89,1
182,72,98,4.17,1.34,1
183,72,98,3.79,1.31,1
184,74,99,3.58,1.04,1
185,74,98,3.67,2.06,1
186,70,99,3.87,0.61,1
187,70,97,3.67,0.82,1
188,69,94,4.02,1.54,1
189,69,98,4.69,0.61,1
190,68,96,4.17,0.5,1
191,69,96,3.74,1.48,1
192,71,98,3.56,2.21,1
193,69,94,3.12,0.66,1
194,69,96,3.05,1.08,1
195,69,95,3.22,2.05,1
196,74,98,3.13,1.54,1
197,72,98,3.83,1.69,1
198,70,95,4.04,0.6,1
199,65,98,3.66,2.01,1
200,67,95,4.15,2.44,1
201,70,94,4.03,2.05,1
202,71,97,3.55,1.46,1
203,70,95,3.69,0.07,1
204,70,97,4.33,1.86,1
205,70,95,4.13,2.19,1
206,70,96,4.28,0.71,1
207,71,97,4.93,1.2,1
208,72,99,3.49,0.93,1
209,74,99,3.29,1.14,1
210,74,95,4.32,1.58,1
211,74,97,4.25,1.96,1
212,71,96,3.43,1.95,1
213,70,99,2.96,0.84,1
214,72,95,3.66,1.88,1
215,76,98,2.09,5.5,0
216,74,98,1.92,2.0,1
217,71,99,3.98,0.89,1
218,67,96,3.67,0.41,1
219,72,98,3.72,1.36,1
220,73,96,3.49,1.24,1
221,73,99,3.6,1.31,1
222,67,99,4.5,1.35,1
223,66,95,4.5,2.18,1
224,65,99,4.33,1.08,1
225,67,99,4.79,1.06,1
226,69,94,3.99,1.23,1
227,71,99,3.27,0.94,1
228,73,97,4.37,2.39,1
229,75,98,4.15,1.02,1
230,75,96,3.8,0.26,1
231,75,97,3.84,0.52,1
232,73,97,3.0,0.84,1
233,74,94,2.86,0.77,1
234,71,99,3.53,0.92,1
235,71,96,4.03,1.17,1
236,70,99,4.72,0.98,1
237,72,97,4.61,1.55,1
238,72,99,3.73,1.8,1
239,71,95,3.75,0.62,1
240,69,96,3.6,0.07,1
241,66,97,4.68,0.01,2
242,64,94,6.53,0.04,2
243,62,95,6.9,0.13,2
244,63,97,6.14,0.11,2
245,64,95,6.05,0.0,2
246,64,97,6.56,0.01,2
247,63,98,7.18,0.08,2
248,62,95,7.45,0.11,2
249,61,94,6.65,0.02,2
250,61,99,6.29,0.0,2
251,62,99,6.14,0.09,2
252,62,99,6.13,0.01,2
253,62,94,6.27,0.1,2
254,61,97,6.36,0.02,2
255,63,96,7.23,0.09,2
256,62,97,8.17,0.13,2
257,62,98,7.64,0.0,2
258,62,98,8.03,0.04,2
259,62,98,9.01,0.06,2
260,73,96,5.82,5.12,0
261,75,99,2.52,0.93,1
262,83,94,1.57,3.87,0
263,74,98,1.57,1.49,1
264,74,95,3.56,1.34,1
265,70,97,4.39,1.68,1
266,71,95,3.88,0.73,1
267,71,99,3.56,1.22,1
268,69,97,3.79,0.92,1
269,67,99,3.8,1.46,1
270,66,96,4.85,2.44,1
271,69,98,5.0,1.71,1
272,71,95,4.47,1.8,1
273,70,98,4.28,0.96,1
274,69,96,3.36,1.48,1
275,65,98,3.25,1.77,1
276,66,98,3.14,2.08,1
277,66,98,3.94,1.77,1
278,68,96,4.01,1.65,1
279,69,94,2.92,1.36,1
280,69,95,3.68,1.13,1
281,70,95,4.4,0.8,1
282,70,95,3.8,1.67,1
283,70,98,3.47,0.28,1
284,70,98,2.83,2.02,1
285,69,95,2.69,1.86,1
286,68,98,3.42,1.01,1
287,68,98,4.02,0.77,1
288,68,99,3.28,1.34,1
289,68,99,4.22,1.22,1
290,68,94,4.48,1.07,1
291,72,99,4.37,1.69,1
292,73,99,5.6,0.9,1
293,72,94,4.83,1.12,1
294,75,94,2.83,5.4,0
295,76,94,2.57,1.49,1
296,78,95,4.71,1.71,1
297,74,99,4.39,0.99,1
298,74,95,3.34,0.78,1
299,73,99,3.81,1.97,1
300,73,97,4.35,1.18,1
301,80,94,2.5,9.38,0
302,83,97,0.9,0.01,3
303,84,95,1.37,0.01,3
304,80,94,2.23,3.66,0
305,80,95,2.44,0.01,3
306,78,95,1.33,0.02,3
307,76,94,0.8,0.01,3
308,76,97,1.22,0.03,3
309,76,96,1.02,0.06,3
310,76,96,0.91,0.05,3
311,74,97,1.51,0.0,3
312,74,95,1.81,0.02,3
313,75,99,2.01,0.0,3
314,74,96,1.63,0.03,3
315,69,99,1.46,0.0,3
316,73,96,1.53,0.01,3
317,74,96,1.39,0.02,3
318,79,99,1.53,0.01,3
319,70,94,1.2,0.01,3
320,71,97,0.95,0.03,3
321,68,94,1.29,0.02,3
322,71,97,1.26,0.03,3
323,73,97,1.08,0.03,3
324,76,97,1.33,0.05,3
325,77,97,1.53,0.04,3
326,75,95,1.47,0.02,3
327,76,94,1.63,0.01,3
328,77,97,1.61,0.0,3
329,75,97,1.21,0.01,3
330,74,98,1.44,0.01,3
331,79,97,1.68,9.73,0
332,85,99,1.61,10.0,0
333,84,96,1.6,5.22,0
334,82,96,1.65,6.06,0
335,85,97,2.08,6.13,0
336,90,98,1.43,3.84,0
337,93,97,0.96,6.95,0
338,90,97,1.74,8.47,0
339,85,94,2.22,7.46,0
340,82,96,1.68,3.68,0
341,86,95,0.85,12.43,0
342,87,96,1.16,5.62,0
343,89,98,1.16,5.7,0
344,85,98,1.16,11.34,0
345,88,94,1.64,5.57,0
346,82,94,1.66,3.09,0
347,86,99,0.86,0.0,0
348,85,97,0.72,10.7,0
349,89,98,1.44,3.31,0
350,88,97,1.39,4.06,0
351,80,95,1.74,12.14,0
352,79,94,2.25,5.33,0
353,76,98,1.84,3.85,0
354,81,96,1.16,10.07,0
355,78,96,1.48,4.11,0
356,80,94,1.12,4.56,0
357,80,96,0.46,4.78,0
358,83,99,1.2,7.87,0
359,84,94,1.59,8.37,0
360,84,95,1.68,9.13,0
361,85,95,1.89,4.54,0
362,87,95,1.54,5.75,0
363,90,97,1.44,3.9,0
364,90,99,1.68,5.23,0
365,89,94,0.87,9.46,0
366,81,96,1.44,1.22,1
367,76,98,3.68,1.27,1
368,68,95,5.13,0.73,1
369,73,95,3.81,5.56,0
370,71,98,2.95,0.57,1
371,74,94,4.18,0.41,1
372,70,98,4.42,1.32,1
373,70,98,4.47,1.3,1
374,72,97,4.13,1.28,1
375,74,98,2.49,8.68,0
376,75,95,2.45,1.44,1
377,73,95,3.25,1.97,1
378,70,95,3.52,0.65,1
379,68,97,4.22,1.81,1
380,68,98,3.39,1.13,1
381,67,94,3.29,0.62,1
382,69,98,3.45,0.37,1
383,68,98,3.88,1.0,1
384,68,94,4.86,1.25,1
385,67,94,4.39,0.0,1
386,70,98,4.92,1.43,1
387,71,98,5.04,1.01,1
388,69,95,3.93,1.17,1
389,68,96,3.66,1.06,1
390,69,94,3.79,0.36,1
391,74,94,2.09,6.7,0
392,75,99,1.74,1.17,1
393,74,98,4.03,0.62,1
394,72,99,4.08,1.38,1
395,75,96,2.4,9.91,0
396,75,95,2.19,1.61,1
397,74,97,2.25,0.95,1
398,70,96,3.48,1.07,1
399,70,96,4.72,2.09,1
400,70,95,3.72,2.01,1
401,69,97,3.45,0.61,1
402,69,95,3.41,1.31,1
403,70,95,2.83,2.61,1
404,70,96,3.37,0.0,1
405,74,99,3.8,1.51,1
406,75,96,3.63,1.59,1
407,75,97,3.99,2.46,1
408,71,99,3.64,0.38,1
409,68,96,3.1,1.06,1
410,69,96,3.23,3.05,1
411,71,95,3.86,1.79,1
412,73,97,3.4,1.01,1
413,73,99,2.77,0.84,1
414,70,99,3.34,0.96,1
415,69,94,3.56,1.49,1
416,70,97,3.86,0.17,1
417,71,95,3.79,0.19,1
418,71,95,3.86,1.02,1
419,70,97,4.42,0.93,1
420,70,99,4.63,1.23,1
421,67,95,4.52,1.71,1
422,66,99,3.31,2.16,1
423,65,94,3.56,0.67,1
424,69,97,4.86,1.47,1
425,69,96,4.61,0.68,1
426,71,98,3.95,2.49,1
427,71,99,3.87,1.82,1
428,71,99,4.46,1.79,1
429,70,98,4.97,1.95,1
430,71,97,4.96,0.44,1
431,72,98,4.91,1.4,1
432,76,98,4.57,0.65,1
433,74,95,4.18,0.63,1
434,72,98,3.97,1.51,1
435,70,99,4.34,0.47,1
436,71,96,3.69,6.01,0
437,74,99,2.86,1.45,1
438,74,94,3.58,1.94,1
439,70,99,3.98,1.8,1
440,67,98,3.6,1.29,1
441,68,99,3.39,1.05,1
442,70,99,4.73,0.0,1
443,72,94,5.73,0.81,1
444,70,98,3.81,1.39,1
445,72,94,3.36,0.69,1
446,69,98,5.01,0.0,2
447,67,97,6.86,0.12,2
448,62,95,7.78,0.13,2
449,62,95,6.77,0.05,2
450,61,94,5.49,0.0,2
451,61,98,4.87,0.04,2
452,61,94,6.48,0.08,2
453,62,94,7.73,0.1,2
454,63,98,6.55,0.06,2
455,64,95,6.62,0.06,2
456,71,96,5.06,5.58,0
457,75,96,2.01,0.03,3
458,78,94,1.8,0.05,3
459,77,97,1.74,0.0,3
460,77,97,1.66,0.02,3
461,78,99,1.69,0.03,3
462,74,97,1.38,0.0,3
463,74,94,1.3,0.04,3
464,75,99,1.37,0.03,3
465,79,96,1.43,0.03,3
466,80,94,1.14,0.03,3
467,78,99,1.27,0.0,3
468,75,99,1.79,0.0,3
469,73,94,2.02,0.06,3
470,76,99,2.05,0.04,3
471,75,96,1.89,0.07,3
472,73,95,2.08,0.04,3
473,69,99,2.02,0.01,3
474,71,97,2.39,6.46,0
475,72,96,2.41,0.03,3
476,76,96,1.52,0.02,3
477,75,96,1.2,0.03,3
478,76,98,1.34,0.03,3
479,75,97,1.66,0.06,3
480,77,96,1.45,0.07,3
481,76,96,1.29,0.0,3
482,78,99,1.37,0.0,3
483,79,98,1.26,0.0,3
484,79,94,1.2,0.01,3
485,77,97,1.33,0.01,3
486,76,94,1.54,0.03,3
487,78,98,1.6,0.03,3
488,78,96,1.49,0.01,3
489,77,98,1.52,0.02,3
490,76,98,1.7,0.01,3
491,75,96,1.51,0.03,3
492,76,95,1.38,0.03,3
493,76,94,1.21,0.03,3
494,73,94,1.39,0.03,3
495,73,95,1.67,0.08,3
496,74,94,1.69,0.02,3
497,74,99,1.49,0.05,3
498,72,98,1.1,0.03,3
499,69,98,1.37,0.01,3
500,69,97,1.82,0.05,3
501,67,94,1.47,0.02,3
502,69,97,1.16,0.02,3
503,73,96,1.41,0.04,3
504,77,94,1.38,0.0,3
505,72,94,1.18,0.0,3
506,71,99,1.21,9.32,0
507,72,97,1.81,6.22,0
508,80,94,1.92,9.25,0
509,88,95,0.82,11.91,0
510,89,96,0.45,6.31,0
511,89,99,0.93,8.78,0
512,85,95,2.16,9.16,0
513,88,99,2.22,4.31,0
514,87,97,0.63,10.05,0
515,87,97,0.74,6.29,0
516,87,94,1.72,4.11,0
517,87,98,1.84,4.86,0
518,86,99,1.3,8.63,0
519,84,98,1.21,8.03,0
520,86,97,1.72,4.34,0
521,85,99,1.23,5.49,0
522,84,96,0.96,1.74,0
523,84,98,2.07,4.8,0
524,84,99,2.64,5.1,0
525,85,97,2.49,3.43,0
526,77,99,3.48,1.97,1
527,77,96,4.43,1.51,1
528,73,97,3.7,1.57,1
529,72,97,3.79,1.54,1
530,71,96,4.47,2.17,1
531,70,95,4.74,0.24,1
532,73,94,3.81,0.79,1
533,73,94,3.75,1.03,1
534,73,97,4.74,1.62,1
535,73,95,3.15,1.15,1
536,71,99,2.94,0.71,1
537,71,94,4.02,0.23,1
538,72,95,4.07,1.22,1
539,72,95,4.07,2.02,1
540,72,98,3.86,1.47,1
541,69,98,4.36,1.33,1
542,70,96,4.57,2.15,1
543,70,99,3.49,0.78,1
544,74,95,3.57,0.95,1
545,73,99,3.91,0.9,1
546,76,95,4.35,2.64,1
547,73,97,4.69,0.09,1
548,72,95,4.21,0.18,1
549,69,94,3.75,1.35,1
550,69,95,2.15,1.88,1
551,70,98,2.64,1.86,1
552,69,94,3.93,1.39,1
553,68,95,3.71,1.0,1
554,69,94,3.25,2.02,1
555,69,96,2.67,0.71,1
556,70,94,3.1,1.22,1
557,72,97,4.01,1.64,1
558,73,95,4.18,0.89,1
559,73,98,4.31,0.93,1
560,72,99,4.23,0.43,1
561,70,97,3.49,1.43,1
562,71,99,4.21,1.78,1
563,72,98,4.11,0.0,1
564,75,96,3.35,0.01,1
565,71,99,4.32,0.31,1
566,69,95,4.19,1.32,1
567,68,98,3.0,1.39,1
568,68,94,2.81,0.92,1
569,69,99,3.65,0.77,1
570,67,99,3.7,0.4,1
571,68,94,3.31,1.73,1
572,70,94,3.74,2.47,1
573,71,99,3.98,0.0,1
574,72,97,4.5,2.4,1
575,70,97,5.09,1.59,1
576,71,98,4.67,0.0,1
577,74,97,2.48,10.56,0
578,75,97,2.25,0.39,1
579,77,97,3.84,1.32,1
580,76,97,4.39,1.14,1
581,74,95,4.85,0.62,1
582,72,96,4.28,0.58,1
583,69,97,3.64,1.16,1
584,70,94,4.39,1.77,1
585,70,94,4.57,1.21,1
586,73,95,2.92,7.78,0
587,77,97,1.95,6.25,0
588,83,96,1.01,9.71,0
589,86,99,0.1,7.0,0
590,87,99,1.05,4.97,0
591,85,95,1.46,6.23,0
592,82,96,1.35,9.77,0
593,77,97,1.56,3.99,0
594,78,98,0.95,5.54,0
595,81,98,0.63,6.49,0
596,85,94,1.12,7.09,0
597,86,94,2.34,5.77,0
598,86,96,2.64,3.65,0
599,83,94,1.46,8.75,0
600,80,98,1.55,6.8,0
601,76,95,2.31,4.63,0
602,79,94,2.97,4.11,0
603,80,94,2.93,2.68,0
604,85,96,1.87,8.25,0
605,82,99,1.22,7.77,0
606,83,94,1.07,8.35,0
607,82,98,1.88,6.66,0
608,85,94,1.33,6.05,0
609,81,95,1.78,2.39,0
610,83,96,2.63,5.63,0
611,85,95,1.2,5.24,0
612,87,98,0.66,11.69,0
613,81,94,0.68,6.79,0
614,84,98,1.28,9.67,0
615,83,98,2.7,6.17,0
616,88,97,3.16,5.37,0
617,84,94,2.93,6.46,0
618,85,95,1.96,9.65,0
619,83,99,0.8,8.96,0
620,84,95,1.34,6.28,0
621,84,98,1.99,11.92,0
622,87,98,1.56,6.33,0
623,88,97,1.78,6.84,0
624,87,99,2.16,6.63,0
625,87,99,1.71,9.18,0
